date,ticker,shares,price
2026-04-09,JAAA,529250000,
2026-04-10,JAAA,528850000,
2026-04-13,JAAA,529600000,
2026-04-14,JAAA,529600000,
2026-04-15,JAAA,530000000,
2026-04-16,JAAA,530000000,
2026-03-28,LQD,271400000,
2026-03-30,LQD,271400000,108.30999755859376
2026-03-31,LQD,271400000,108.94000244140624
2026-04-01,LQD,265300000,
2026-04-02,LQD,272600000,
2026-04-03,LQD,282900000,
2026-04-06,LQD,282900000,
2026-04-07,LQD,281500000,
2026-04-08,LQD,282700000,
2026-04-09,LQD,281300000,
2026-04-10,LQD,284300000,
2026-04-13,LQD,292500000,
2026-04-14,LQD,297800000,
2026-04-15,LQD,299100000,
2026-04-16,LQD,302100000,
2025-03-05,PSLV,518864992,11.09000015258789
2025-03-11,PSLV,528420992,11.140000343322754
2025-03-12,PSLV,518864992,11.300000190734863
2025-03-13,PSLV,518864992,11.520000457763672
2025-03-17,PSLV,518864992,11.609999656677246
2025-03-20,PSLV,518864992,11.510000228881836
2025-03-21,PSLV,518864992,11.289999961853027
2025-03-22,PSLV,518864992,
2025-03-26,PSLV,519975008,11.4399995803833
2025-03-27,PSLV,519975008,11.68000030517578
2025-03-31,PSLV,519975008,11.600000381469728
2025-04-01,PSLV,519975008,11.520000457763672
2025-04-05,PSLV,519975008,
2025-04-08,PSLV,519975008,10.079999923706056
2025-04-09,PSLV,519975008,10.380000114440918
2025-04-11,PSLV,519975008,10.760000228881836
2025-04-17,PSLV,519975008,10.960000038146973
2025-04-18,PSLV,519975008,
2025-04-22,PSLV,519975008,10.890000343322754
2025-04-23,PSLV,519975008,11.260000228881836
2025-04-24,PSLV,519975008,11.289999961853027
2025-04-26,PSLV,528876000,
2025-04-29,PSLV,519975008,11.029999732971191
2025-04-30,PSLV,525160992,10.949999809265137
2025-05-01,PSLV,519975008,10.84000015258789
2025-05-07,PSLV,519975008,10.880000114440918
2025-05-08,PSLV,519975008,10.869999885559082
2025-05-13,PSLV,519975008,11.050000190734863
2025-05-14,PSLV,519975008,10.789999961853027
